"id_venda","sale_date","id_product","qtd","valor_recebido_em_brl","custo_operacao_brl","saldo_operacao_brl","possui_prejuizo","valor_do_prejuizo"
2392,"2024-12-26",63,13,1819450.0,3677549.929872,-1858099.9298720001,Sim,1858099.9298720001
1598,"2024-07-19",76,15,2222973.0,4047685.8495449997,-1824712.8495449997,Sim,1824712.8495449997
427,"2024-07-30",63,14,1861436.65,3631301.135952,-1769864.4859520001,Sim,1769864.4859520001
9727,"2024-07-08",76,15,2222973.0,3987709.8768,-1764736.8768000002,Sim,1764736.8768000002
5119,"2024-07-30",76,13,1830248.15,3570457.836036,-1740209.686036,Sim,1740209.686036
1598,"2024-07-19",76,15,2222973.0,3955743.2999249995,-1732770.2999249995,Sim,1732770.2999249995
179,"2024-09-27",76,14,1971036.25,3702205.784914,-1731169.534914,Sim,1731169.534914
8568,"2024-10-18",63,14,1959407.0,3640293.956992,-1680886.9569919999,Sim,1680886.9569919999
3026,"2024-12-31",99,15,1528550.0,3206865.2278500004,-1678315.2278500004,Sim,1678315.2278500004
9727,"2024-07-08",76,15,2222973.0,3897129.6720000003,-1674156.6720000003,Sim,1674156.6720000003
5119,"2024-07-30",76,13,1830248.15,3489355.4459400005,-1659107.2959400006,Sim,1659107.2959400006
3026,"2024-12-31",99,15,1528550.0,3184826.522535,-1656276.522535,Sim,1656276.522535
179,"2024-09-27",76,14,1971036.25,3618110.76081,-1647074.51081,Sim,1647074.51081
4358,"2024-12-24",73,12,1717919.0,3352331.262576,-1634412.2625759998,Sim,1634412.2625759998
3026,"2024-12-31",99,15,1528550.0,3152877.9699150003,-1624327.9699150003,Sim,1624327.9699150003
2392,"2024-12-26",63,13,1819450.0,3435518.9319360005,-1616068.9319360005,Sim,1616068.9319360005
9024,"2023-02-15",63,15,1994396.75,3595499.61423,-1601102.86423,Sim,1601102.86423
1052,"2024-12-30",99,15,1609000.0,3206865.2278500004,-1597865.2278500004,Sim,1597865.2278500004
2392,"2024-12-26",63,13,1819450.0,3408172.399632,-1588722.399632,Sim,1588722.399632
1052,"2024-12-30",99,15,1609000.0,3184826.522535,-1575826.522535,Sim,1575826.522535
3026,"2024-12-31",99,15,1528550.0,3096438.56118,-1567888.5611800002,Sim,1567888.5611800002
4358,"2024-12-24",73,12,1717919.0,3284121.9259800003,-1566202.9259800003,Sim,1566202.9259800003
1052,"2024-12-30",99,15,1609000.0,3152877.9699150003,-1543877.9699150003,Sim,1543877.9699150003
427,"2024-07-30",63,14,1861436.65,3392313.9149760003,-1530877.2649760004,Sim,1530877.2649760004
4002,"2024-08-23",71,15,1854980.45,3375895.920345,-1520915.470345,Sim,1520915.470345
7414,"2024-09-16",71,15,1854980.45,3372475.002705,-1517494.552705,Sim,1517494.552705
5392,"2023-01-30",63,15,1994396.75,3507131.3829900003,-1512734.6329900003,Sim,1512734.6329900003
2139,"2024-11-29",71,13,1692263.0,3204890.7635549996,-1512627.7635549996,Sim,1512627.7635549996
3026,"2024-12-31",99,15,1528550.0,3038088.5182800004,-1509538.5182800004,Sim,1509538.5182800004
427,"2024-07-30",63,14,1861436.65,3365311.2921120003,-1503874.6421120004,Sim,1503874.6421120004
5159,"2024-12-05",76,10,1407882.9,2907656.5352899996,-1499773.6352899997,Sim,1499773.6352899997
1052,"2024-12-30",99,15,1609000.0,3096438.56118,-1487438.5611800002,Sim,1487438.5611800002
1598,"2024-07-19",76,15,2222973.0,3708828.2819999997,-1485855.2819999997,Sim,1485855.2819999997
6352,"2024-04-17",76,13,1830248.15,3313846.179137,-1483598.029137,Sim,1483598.029137
4010,"2023-01-03",63,13,1728477.5,3206523.3988579996,-1478045.8988579996,Sim,1478045.8988579996
7160,"2024-09-09",97,15,2030026.0,3502656.570645001,-1472630.5706450008,Sim,1472630.5706450008
8950,"2023-09-13",76,15,2111824.35,3583327.5283649997,-1471503.1783649996,Sim,1471503.1783649996
8607,"2024-12-19",57,13,1467063.15,2928719.075737,-1461655.925737,Sim,1461655.925737
3978,"2023-03-02",76,13,1830248.15,3289277.64984,-1459029.4998400002,Sim,1459029.4998400002
3648,"2024-12-12",63,11,1539534.0,2998316.650912,-1458782.6509119999,Sim,1458782.6509119999
8607,"2024-12-19",57,13,1467063.15,2913173.4233159996,-1446110.2733159997,Sim,1446110.2733159997
8568,"2024-10-18",63,14,1959407.0,3400714.8904960006,-1441307.8904960006,Sim,1441307.8904960006
5119,"2024-07-30",76,13,1830248.15,3271552.0656,-1441303.9156,Sim,1441303.9156
8668,"2024-12-06",63,10,1329598.15,2766347.74982,-1436749.5998200001,Sim,1436749.5998200001
5159,"2024-12-05",76,10,1407882.9,2841609.5728499996,-1433726.6728499997,Sim,1433726.6728499997
9727,"2024-07-08",76,15,2222973.0,3653873.2800000003,-1430900.2800000003,Sim,1430900.2800000003
1052,"2024-12-30",99,15,1609000.0,3038088.5182800004,-1429088.5182800004,Sim,1429088.5182800004
2958,"2024-12-17",78,13,1503755.0,2932520.8764150003,-1428765.8764150003,Sim,1428765.8764150003
179,"2024-09-27",76,14,1971036.25,3392270.5544000003,-1421234.3044000003,Sim,1421234.3044000003
1598,"2024-07-19",76,15,2222973.0,3643168.12455,-1420195.1245499998,Sim,1420195.1245499998
9192,"2024-02-23",76,14,1971036.25,3390690.242394,-1419653.9923939998,Sim,1419653.9923939998
8568,"2024-10-18",63,14,1959407.0,3373645.3963520005,-1414238.3963520005,Sim,1414238.3963520005
684,"2024-08-08",63,12,1679492.0,3092722.9191360003,-1413230.9191360003,Sim,1413230.9191360003
6352,"2024-04-17",76,13,1830248.15,3238572.682605,-1408324.5326050003,Sim,1408324.5326050003
2937,"2024-01-30",76,14,1971036.25,3376202.7291719997,-1405166.4791719997,Sim,1405166.4791719997
5772,"2023-03-06",73,14,1904027.05,3302797.0242399997,-1398769.9742399997,Sim,1398769.9742399997
5327,"2024-09-27",76,12,1778379.0,3173319.244212,-1394940.2442120002,Sim,1394940.2442120002
8950,"2023-09-13",76,15,2111824.35,3501932.805225,-1390108.4552249997,Sim,1390108.4552249997
3978,"2023-03-02",76,13,1830248.15,3214562.2236000006,-1384314.0736000007,Sim,1384314.0736000007
5119,"2024-07-30",76,13,1830248.15,3213633.33564,-1383385.1856400003,Sim,1383385.1856400003
5594,"2024-08-29",81,15,1832227.0,3202675.7912999997,-1370448.7912999997,Sim,1370448.7912999997
9727,"2024-07-08",76,15,2222973.0,3589186.032,-1366213.0320000001,Sim,1366213.0320000001
9024,"2023-02-15",63,15,1994396.75,3358868.6027400005,-1364471.8527400005,Sim,1364471.8527400005
5594,"2024-08-29",81,15,1832227.0,3193760.51928,-1361533.5192800001,Sim,1361533.5192800001
179,"2024-09-27",76,14,1971036.25,3332214.65486,-1361178.4048600001,Sim,1361178.4048600001
9623,"2024-08-05",71,13,1692263.0,3051939.0923579996,-1359676.0923579996,Sim,1359676.0923579996
5594,"2024-08-29",81,15,1832227.0,3191786.58033,-1359559.5803299998,Sim,1359559.5803299998
3911,"2023-08-07",76,15,2222973.0,3571594.68315,-1348621.68315,Sim,1348621.68315
9192,"2024-02-23",76,14,1971036.25,3313671.2450099997,-1342634.9950099997,Sim,1342634.9950099997
9024,"2023-02-15",63,15,1994396.75,3332132.2026300007,-1337735.4526300007,Sim,1337735.4526300007
