,id,id_client,id_product,qtd,total,sale_date
0,0.0,42.0,105.0,11.0,3405.0,2023-10-09
1,1.0,3.0,136.0,9.0,16873.9,2024-09-15
2,2.0,25.0,139.0,7.0,9475.3,2024-08-13
3,4.0,20.0,23.0,5.0,55893.0,2023-03-02
4,5.0,8.0,57.0,4.0,451403.9,2024-12-02
5,6.0,36.0,52.0,3.0,39056.4,2023-09-26
6,8.0,27.0,25.0,3.0,34560.05,2024-02-28
7,9.0,37.0,26.0,7.0,114932.9,2023-07-11
8,10.0,31.0,143.0,3.0,12643.55,2024-08-25
9,11.0,39.0,128.0,5.0,23254.0,2023-07-05
10,12.0,27.0,48.0,13.0,191573.0,2024-07-29
11,13.0,43.0,19.0,2.0,31221.75,2024-04-28
12,14.0,13.0,125.0,15.0,48479.45,2024-06-05
13,15.0,17.0,14.0,3.0,102061.35,2023-10-14
14,16.0,39.0,45.0,2.0,18816.65,2024-07-10
15,17.0,43.0,91.0,11.0,1409558.7,2023-05-09
16,18.0,25.0,27.0,3.0,47057.3,2024-11-28
17,19.0,37.0,100.0,2.0,198740.0,2023-07-16
18,20.0,39.0,56.0,12.0,490071.75,2024-11-27
19,21.0,17.0,71.0,3.0,390522.0,2024-04-12
20,22.0,29.0,20.0,2.0,61667.0,2024-04-11
21,23.0,7.0,132.0,15.0,23445.0,2023-04-02
22,24.0,45.0,128.0,12.0,55809.0,2023-09-05
23,25.0,8.0,3.0,2.0,18048.0,2024-04-02
24,26.0,19.0,147.0,14.0,40299.95,2024-10-05
25,27.0,23.0,97.0,4.0,541340.0,2023-04-15
26,28.0,41.0,60.0,12.0,1239762.35,2023-03-20
27,29.0,26.0,109.0,7.0,4359.0,2024-03-24
28,30.0,38.0,35.0,15.0,165083.0,2023-07-18
29,31.0,41.0,91.0,13.0,1665842.1,2023-03-20
30,32.0,43.0,40.0,11.0,156024.0,2023-02-11
31,33.0,4.0,92.0,8.0,710833.0,2023-07-26
32,34.0,28.0,73.0,3.0,429480.0,2023-05-11
33,35.0,33.0,35.0,10.0,110055.0,2024-02-04
34,36.0,18.0,136.0,7.0,13123.3,2023-11-24
35,37.0,24.0,32.0,13.0,162532.0,2023-08-29
36,38.0,38.0,87.0,9.0,601739.0,2024-04-30
37,39.0,13.0,71.0,8.0,989322.4,2024-10-16
38,40.0,27.0,116.0,5.0,12878.0,2023-09-09
39,41.0,46.0,34.0,3.0,14753.0,2024-04-06
40,42.0,1.0,6.0,12.0,141843.0,2023-12-08
41,43.0,11.0,70.0,14.0,480976.0,2023-10-08
42,44.0,39.0,81.0,8.0,928328.6,2024-03-12
43,45.0,22.0,149.0,11.0,12160.0,2024-12-09
44,46.0,25.0,120.0,5.0,15622.0,2023-12-15
45,47.0,4.0,60.0,15.0,1631266.0,2024-04-02
46,48.0,13.0,54.0,15.0,1823022.0,2024-05-30
