Original,Suspeito,Score
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu zenith 60hp,91
motor diesel tohatsu zenith 60hp,motor diesel tohatsu evo zenith 16hp,91
motor de popa volvo maré 69hp,motor de popa volvo magnum 276hp,87
motor de popa volvo magnum 276hp,motor de popa volvo maré 69hp,87
boia de arqueamento bruce titan,boia de arqueamento bruce dash titan pulse,85
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth flux tidal,87
boia de arqueamento delta force vox,boia de arqueamento delta nexus,85
boia de arqueamento danforth flux tidal,boia de arqueamento danforth tidal zen swift,87
boia de arqueamento delta nexus,boia de arqueamento delta force vox,85
boia de arqueamento danforth core vortex,boia de arqueamento danforth torque,85
boia de arqueamento danforth torque,boia de arqueamento danforth core vortex,85
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce titan,85
transponder furuno marlin,transponder furuno force ion,79
piloto automático furuno storm,piloto automático furuno torque peak,84
transponder ais titan pulse,transponder ais boost,75
transponder ais titan pulse,transponder furuno pulse axis,75
piloto automático simrad titan flux magnum,piloto automático simrad poseidon magnum,75
rádio furuno zen swift,radar furuno swift,77
rádio simrad axis,rádio simrad orca,81
transponder furuno force ion,transponder furuno marlin,79
piloto automático furuno torque peak,piloto automático furuno storm,84
rádio simrad orca,rádio simrad axis,81
transponder ais boost,transponder ais titan pulse,75
transponder furuno pulse axis,transponder ais titan pulse,75
transponder ais helix torque,transponder lowrance axis,75
radar furuno swift,sonda furuno swift,83
radar furuno swift,rádio furuno zen swift,77
transponder lowrance axis,transponder ais helix torque,75
sonda furuno swift,radar furuno swift,83
piloto automático simrad poseidon magnum,piloto automático simrad titan flux magnum,75
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu zenith 60hp,91
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu vector 197hp,78
motor diesel tohatsu evo zenith 16hp,motor de popa tohatsu evo 168hp,75
motor de popa yamaha evo dash 155hp,motor de popa yamaha mako 108hp,79
motor de popa yamaha mako 108hp,motor de popa yamaha evo dash 155hp,79
motor diesel parsun boost helix velocity 146hp,motor diesel parsun velocity abyss orca 235hp,75
motor de popa volvo hydro dash 256hp,motor de popa volvo maré 69hp,78
motor diesel tohatsu vector 197hp,motor diesel tohatsu zenith 60hp,80
motor diesel tohatsu vector 197hp,motor diesel tohatsu evo zenith 16hp,78
motor diesel tohatsu zenith 60hp,motor diesel tohatsu evo zenith 16hp,91
motor diesel tohatsu zenith 60hp,motor diesel tohatsu vector 197hp,80
motor de popa volvo maré 69hp,motor de popa volvo magnum 276hp,87
motor de popa volvo maré 69hp,motor de popa volvo hydro dash 256hp,78
motor elétrico yamaha orca storm zenith 11hp,motor elétrico tohatsu zenith oceanic 113hp,80
motor elétrico tohatsu zenith oceanic 113hp,motor elétrico yamaha orca storm zenith 11hp,80
motor de popa volvo magnum 276hp,motor de popa volvo maré 69hp,87
motor de popa tohatsu evo 168hp,motor diesel tohatsu evo zenith 16hp,75
motor diesel parsun velocity abyss orca 235hp,motor diesel parsun boost helix velocity 146hp,75
cabo de nylon delta vortex,cabo de nylon delta zen vortex storm,84
